date,idxSubject,idxCategory,idxCd,idxNm,share,value,qtyUnit,currency
2010-01-01,marketIdx,SCFI,EUNE,EU(Base port),0.2,1626,T,USD
2010-01-08,marketIdx,SCFI,EUNE,EU(Base port),0.2,1626,T,USD
2010-01-15,marketIdx,SCFI,EUNE,EU(Base port),0.2,1778,T,USD
2010-01-22,marketIdx,SCFI,EUNE,EU(Base port),0.2,1849,T,USD
2010-01-29,marketIdx,SCFI,EUNE,EU(Base port),0.2,1992,T,USD
2010-02-05,marketIdx,SCFI,EUNE,EU(Base port),0.2,2068,T,USD
2010-02-12,marketIdx,SCFI,EUNE,EU(Base port),0.2,2082,T,USD
2010-02-19,marketIdx,SCFI,EUNE,EU(Base port),0.2,2116,T,USD
2010-02-26,marketIdx,SCFI,EUNE,EU(Base port),0.2,2150,T,USD
2010-03-05,marketIdx,SCFI,EUNE,EU(Base port),0.2,2164,T,USD
2010-03-12,marketIdx,SCFI,EUNE,EU(Base port),0.2,2104,T,USD
2010-03-19,marketIdx,SCFI,EUNE,EU(Base port),0.2,2009,T,USD
2010-03-26,marketIdx,SCFI,EUNE,EU(Base port),0.2,1956,T,USD
2010-04-02,marketIdx,SCFI,EUNE,EU(Base port),0.2,1917,T,USD
2010-04-09,marketIdx,SCFI,EUNE,EU(Base port),0.2,1901,T,USD
2010-04-16,marketIdx,SCFI,EUNE,EU(Base port),0.2,1878,T,USD
2010-04-23,marketIdx,SCFI,EUNE,EU(Base port),0.2,1856,T,USD
2010-04-30,marketIdx,SCFI,EUNE,EU(Base port),0.2,1853,T,USD
2010-05-07,marketIdx,SCFI,EUNE,EU(Base port),0.2,1850,T,USD
2010-05-14,marketIdx,SCFI,EUNE,EU(Base port),0.2,1845,T,USD
2010-05-21,marketIdx,SCFI,EUNE,EU(Base port),0.2,1849,T,USD
2010-05-28,marketIdx,SCFI,EUNE,EU(Base port),0.2,1850,T,USD
2010-06-04,marketIdx,SCFI,EUNE,EU(Base port),0.2,1869,T,USD
2010-06-11,marketIdx,SCFI,EUNE,EU(Base port),0.2,1874,T,USD
2010-06-18,marketIdx,SCFI,EUNE,EU(Base port),0.2,1868,T,USD
2010-06-25,marketIdx,SCFI,EUNE,EU(Base port),0.2,1870,T,USD
2010-07-02,marketIdx,SCFI,EUNE,EU(Base port),0.2,1887,T,USD
2010-07-09,marketIdx,SCFI,EUNE,EU(Base port),0.2,1901,T,USD
2010-07-16,marketIdx,SCFI,EUNE,EU(Base port),0.2,1903,T,USD
2010-07-23,marketIdx,SCFI,EUNE,EU(Base port),0.2,1895,T,USD
2010-07-30,marketIdx,SCFI,EUNE,EU(Base port),0.2,1890,T,USD
2010-08-06,marketIdx,SCFI,EUNE,EU(Base port),0.2,1879,T,USD
2010-08-13,marketIdx,SCFI,EUNE,EU(Base port),0.2,1867,T,USD
2010-08-20,marketIdx,SCFI,EUNE,EU(Base port),0.2,1847,T,USD
2010-08-27,marketIdx,SCFI,EUNE,EU(Base port),0.2,1823,T,USD
2010-09-03,marketIdx,SCFI,EUNE,EU(Base port),0.2,1785,T,USD
2010-09-10,marketIdx,SCFI,EUNE,EU(Base port),0.2,1745,T,USD
2010-09-17,marketIdx,SCFI,EUNE,EU(Base port),0.2,1690,T,USD
2010-09-24,marketIdx,SCFI,EUNE,EU(Base port),0.2,1659.25,T,USD
