idx,day
100000,20200101
100001,20200102
100002,20200103
100003,20200104
100004,20200105
100005,20200106
100006,20200107
100007,20200108
100008,20200109
100009,20200110
100010,20200111
100011,20200112
100012,20200113
100013,20200114
100014,20200115
100015,20200116
100016,20200117
100017,20200118
100018,20200119
100019,20200120
100020,20200121
100021,20200122
100022,20200123
100023,20200124
100024,20200125
100025,20200126
100026,20200127
100027,20200128
100028,20200129
100029,20200130
100030,20200131
100031,20200201
100032,20200202
100033,20200203
100034,20200204
100035,20200205
100036,20200206
100037,20200207
100038,20200208
100039,20200209
100040,20200210
100041,20200211
100042,20200212
100043,20200213
100044,20200214
100045,20200215
100046,20200216
100047,20200217
100048,20200218
100049,20200219
100050,20200220
100051,20200221
100052,20200222
100053,20200223
100054,20200224
100055,20200225
100056,20200226
100057,20200227
100058,20200228
100059,20200229
100060,20200301
100061,20200302
100062,20200303
100063,20200304
100064,20200305
100065,20200306
100066,20200307
100067,20200308
100068,20200309
100069,20200310
100070,20200311
100071,20200312
100072,20200313
100073,20200314
100074,20200315
100075,20200316
100076,20200317
100077,20200318
100078,20200319
100079,20200320
100080,20200321
100081,20200322
100082,20200323
100083,20200324
100084,20200325
100085,20200326
100086,20200327
100087,20200328
100088,20200329
100089,20200330
100090,20200331
100091,20200401
100092,20200402
100093,20200403
100094,20200404
100095,20200405
100096,20200406
100097,20200407
100098,20200408
100099,20200409
100100,20200410
100101,20200411
100102,20200412
100103,20200413
100104,20200414
100105,20200415
100106,20200416
100107,20200417
100108,20200418
100109,20200419
100110,20200420
100111,20200421
100112,20200422
100113,20200423
100114,20200424
100115,20200425
100116,20200426
100117,20200427
100118,20200428
100119,20200429
100120,20200430
100121,20200501
100122,20200502
100123,20200503
100124,20200504
100125,20200505
100126,20200506
100127,20200507
100128,20200508
100129,20200509
100130,20200510
100131,20200511
100132,20200512
100133,20200513
100134,20200514
100135,20200515
100136,20200516
100137,20200517
100138,20200518
100139,20200519
100140,20200520
100141,20200521
100142,20200522
100143,20200523
100144,20200524
100145,20200525
100146,20200526
100147,20200527
100148,20200528
100149,20200529
100150,20200530
100151,20200531
100152,20200601
100153,20200602
100154,20200603
100155,20200604
100156,20200605
100157,20200606
100158,20200607
100159,20200608
100160,20200609
100161,20200610
100162,20200611
100163,20200612
100164,20200613
100165,20200614
100166,20200615
100167,20200616
100168,20200617
100169,20200618
100170,20200619
100171,20200620
100172,20200621
100173,20200622
100174,20200623
100175,20200624
100176,20200625
100177,20200626
100178,20200627
100179,20200628
100180,20200629
100181,20200630
100182,20200701
100183,20200702
100184,20200703
100185,20200704
100186,20200705
100187,20200706
100188,20200707
100189,20200708
100190,20200709
100191,20200710
100192,20200711
100193,20200712
100194,20200713
100195,20200714
100196,20200715
100197,20200716
100198,20200717
100199,20200718
100200,20200719
100201,20200720
100202,20200721
100203,20200722
100204,20200723
100205,20200724
100206,20200725
100207,20200726
100208,20200727
100209,20200728
100210,20200729
100211,20200730
100212,20200731
100213,20200801
100214,20200802
100215,20200803
100216,20200804
100217,20200805
100218,20200806
100219,20200807
100220,20200808
100221,20200809
100222,20200810
100223,20200811
100224,20200812
100225,20200813
100226,20200814
100227,20200815
100228,20200816
100229,20200817
100230,20200818
100231,20200819
100232,20200820
100233,20200821
100234,20200822
100235,20200823
100236,20200824
100237,20200825
100238,20200826
100239,20200827
100240,20200828
100241,20200829
100242,20200830
100243,20200831
100244,20200901
100245,20200902
100246,20200903
100247,20200904
100248,20200905
100249,20200906
100250,20200907
100251,20200908
100252,20200909
100253,20200910
100254,20200911
100255,20200912
100256,20200913
100257,20200914
100258,20200915
100259,20200916
100260,20200917
100261,20200918
100262,20200919
100263,20200920
100264,20200921
100265,20200922
100266,20200923
100267,20200924
100268,20200925
100269,20200926
100270,20200927
100271,20200928
100272,20200929
100273,20200930
100274,20201001
100275,20201002
100276,20201003
100277,20201004
100278,20201005
100279,20201006
100280,20201007
100281,20201008
100282,20201009
100283,20201010
100284,20201011
100285,20201012
100286,20201013
100287,20201014
100288,20201015
100289,20201016
100290,20201017
100291,20201018
100292,20201019
100293,20201020
100294,20201021
100295,20201022
100296,20201023
100297,20201024
100298,20201025
100299,20201026
100300,20201027
100301,20201028
100302,20201029
100303,20201030
100304,20201031
100305,20201101
100306,20201102
100307,20201103
100308,20201104
100309,20201105
100310,20201106
100311,20201107
100312,20201108
100313,20201109
100314,20201110
100315,20201111
100316,20201112
100317,20201113
100318,20201114
100319,20201115
100320,20201116
100321,20201117
100322,20201118
100323,20201119
100324,20201120
100325,20201121
100326,20201122
100327,20201123
100328,20201124
100329,20201125
100330,20201126
100331,20201127
100332,20201128
100333,20201129
100334,20201130
100335,20201201
100336,20201202
100337,20201203
100338,20201204
100339,20201205
100340,20201206
100341,20201207
100342,20201208
100343,20201209
100344,20201210
100345,20201211
100346,20201212
100347,20201213
100348,20201214
100349,20201215
100350,20201216
100351,20201217
100352,20201218
100353,20201219
100354,20201220
100355,20201221
100356,20201222
100357,20201223
100358,20201224
100359,20201225
100360,20201226
100361,20201227
100362,20201228
100363,20201229
100364,20201230
100365,20201231
100366,20210101
100367,20210102
100368,20210103
100369,20210104
100370,20210105
100371,20210106
100372,20210107
100373,20210108
100374,20210109
100375,20210110
100376,20210111
100377,20210112
100378,20210113
100379,20210114
100380,20210115
100381,20210116
100382,20210117
100383,20210118
100384,20210119
100385,20210120
100386,20210121
100387,20210122
100388,20210123
100389,20210124
100390,20210125
100391,20210126
100392,20210127
100393,20210128
100394,20210129
100395,20210130
100396,20210131
100397,20210201
100398,20210202
100399,20210203
100400,20210204
100401,20210205
100402,20210206
100403,20210207
100404,20210208
100405,20210209
100406,20210210
100407,20210211
100408,20210212
100409,20210213
100410,20210214
100411,20210215
100412,20210216
100413,20210217
100414,20210218
100415,20210219
100416,20210220
100417,20210221
100418,20210222
100419,20210223
100420,20210224
100421,20210225
100422,20210226
100423,20210227
100424,20210228
100425,20210301
100426,20210302
