idx,BSE_YW,yyyymmdd,week2
1000,202001,20200104,20201
1001,202002,20200111,20202
1002,202003,20200118,20203
1003,202004,20200125,20204
1004,202005,20200201,20205
1005,202006,20200208,20206
1006,202007,20200215,20207
1007,202008,20200222,20208
1008,202009,20200229,20209
1009,202010,20200307,202010
1010,202011,20200314,202011
1011,202012,20200321,202012
1012,202013,20200328,202013
1013,202014,20200404,202014
1014,202015,20200411,202015
1015,202016,20200418,202016
1016,202017,20200425,202017
1017,202018,20200502,202018
1018,202019,20200509,202019
1019,202020,20200516,202020
1020,202021,20200523,202021
1021,202022,20200530,202022
1022,202023,20200606,202023
1023,202024,20200613,202024
1024,202025,20200620,202025
1025,202026,20200627,202026
1026,202027,20200704,202027
1027,202028,20200711,202028
1028,202029,20200718,202029
1029,202030,20200725,202030
1030,202031,20200801,202031
1031,202032,20200808,202032
1032,202033,20200815,202033
1033,202034,20200822,202034
1034,202035,20200829,202035
1035,202036,20200905,202036
1036,202037,20200912,202037
1037,202038,20200919,202038
1038,202039,20200926,202039
1039,202040,20201003,202040
1040,202041,20201010,202041
1041,202042,20201017,202042
1042,202043,20201024,202043
1043,202044,20201031,202044
1044,202045,20201107,202045
1045,202046,20201114,202046
1046,202047,20201121,202047
1047,202048,20201128,202048
1048,202049,20201205,202049
1049,202050,20201212,202050
1050,202051,20201219,202051
1051,202052,20201226,202052
1052,202101,20210102,20211
1053,202102,20210109,20212
1054,202103,20210116,20213
1055,202104,20210123,20214
1056,202105,20210130,20215
1057,202106,20210206,20216
1058,202107,20210213,20217
1059,202108,20210220,20218
1060,202109,20210227,20219
1061,202110,20210306,202110
1062,202111,20210313,202111
1063,202112,20210320,202112
1064,202113,20210327,202113
1065,202114,20210403,202114
1066,202115,20210410,202115
1067,202116,20210417,202116
1068,202117,20210424,202117
1069,202118,20210501,202118
1070,202119,20210508,202119
1071,202120,20210515,202120
1072,202121,20210522,202121
1073,202122,20210529,202122
1074,202123,20210605,202123
1075,202124,20210612,202124
1076,202125,20210619,202125
1077,202126,20210626,202126
1078,202127,20210703,202127
1079,202128,20210710,202128
1080,202129,20210717,202129
1081,202130,20210724,202130
1082,202131,20210731,202131
1083,202132,20210807,202132
1084,202133,20210814,202133
1085,202134,20210821,202134
1086,202135,20210828,202135
1087,202136,20210904,202136
1088,202137,20210911,202137
1089,202138,20210918,202138
1090,202139,20210925,202139
1091,202140,20211002,202140
1092,202141,20211009,202141
1093,202142,20211016,202142
1094,202143,20211023,202143
1095,202144,20211030,202144
1096,202145,20211106,202145
1097,202146,20211113,202146
1098,202147,20211120,202147
1099,202148,20211127,202148
1100,202149,20211204,202149
1101,202150,20211211,202150
1102,202151,20211218,202151
1103,202152,20211225,202152
1104,200001,20000101,20001
1105,200002,20000108,20002
1106,200003,20000115,20003
1107,200004,20000122,20004
1108,200005,20000129,20005
1109,200006,20000205,20006
1110,200007,20000212,20007
1111,200008,20000219,20008
1112,200009,20000226,20009
1113,200010,20000304,200010
1114,200011,20000311,200011
1115,200012,20000318,200012
1116,200013,20000325,200013
1117,200014,20000401,200014
1118,200015,20000408,200015
1119,200016,20000415,200016
1120,200017,20000422,200017
1121,200018,20000429,200018
1122,200019,20000506,200019
1123,200020,20000513,200020
1124,200021,20000520,200021
1125,200022,20000527,200022
1126,200023,20000603,200023
